,CreditScore,Location,Male,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
50,742.0,1.0,0.0,33.0,0.0,0.0,2.0,1.0,1.0,135925.72,0
51,797.0,1.0,0.0,38.0,9.0,0.0,1.0,1.0,1.0,62868.33,0
52,706.0,1.0,1.0,?,3.0,139842.39,2.0,1.0,1.0,123556.15,0
53,755.0,0.0,0.0,45.0,7.0,135643.0,1.0,1.0,0.0,143619.52,0
54,589.0,0.0,1.0,29.0,10.0,139129.67,2.0,1.0,0.0,131364.87,0
55,535.0,1.0,,29.0,8.0,,1.0,0.0,1.0,169863.69,0
56,618.0,0.0,0.0,40.0,5.0,140306.38,1.0,0.0,0.0,160670.37,0
57,516.0,1.0,1.0,38.0,8.0,0.0,2.0,0.0,0.0,186826.22,0
58,696.0,1.0,0.0,37.0,2.0,123815.86,1.0,0.0,1.0,45959.86,0
59,557.0,2.0,1.0,34.0,5.0,0.0,1.0,1.0,0.0,123882.73,0
60,703.0,2.0,1.0,31.0,3.0,109052.04,1.0,1.0,0.0,54676.1,0
61,714.0,1.0,0.0,42.0,3.0,0.0,2.0,1.0,0.0,187985.85,0
62,516.0,1.0,1.0,30.0,8.0,0.0,2.0,0.0,1.0,?,0
63,642.0,1.0,1.0,41.0,2.0,,2.0,0.0,1.0,170638.98,0
64,667.0,1.0,0.0,?,2.0,0.0,3.0,1.0,0.0,53817.23,1
65,635.0,0.0,1.0,32.0,6.0,143350.78,1.0,0.0,1.0,155876.2,0
66,664.0,2.0,1.0,37.0,7.0,0.0,2.0,0.0,1.0,187718.26,0
67,665.0,2.0,0.0,34.0,9.0,0.0,2.0,1.0,0.0,,0
68,711.0,1.0,?,26.0,7.0,0.0,2.0,0.0,0.0,185547.71,0
69,768.0,1.0,0.0,?,1.0,105627.95,1.0,1.0,0.0,36560.51,1
70,609.0,1.0,0.0,29.0,7.0,0.0,,0.0,1.0,153469.73,0
71,592.0,1.0,1.0,38.0,6.0,140931.97,1.0,?,0.0,183617.96,0
72,586.0,1.0,1.0,33.0,2.0,0.0,2.0,1.0,1.0,142238.54,0
73,659.0,1.0,0.0,31.0,5.0,0.0,1.0,0.0,0.0,164064.43,1
74,663.0,2.0,0.0,53.0,2.0,0.0,1.0,1.0,0.0,66979.9,1
75,634.0,,0.0,35.0,10.0,0.0,2.0,1.0,0.0,82634.41,0
76,730.0,2.0,0.0,34.0,3.0,0.0,2.0,1.0,1.0,93081.87,0
77,696.0,1.0,1.0,?,8.0,0.0,2.0,1.0,1.0,196134.44,0
78,534.0,1.0,1.0,37.0,1.0,134874.4,1.0,1.0,0.0,117841.06,0
79,,0.0,1.0,26.0,5.0,135645.29,2.0,1.0,1.0,101382.86,0
80,439.0,2.0,1.0,63.0,9.0,0.0,2.0,0.0,?,27359.19,0
81,?,1.0,1.0,56.0,1.0,100374.58,1.0,1.0,0.0,118490.8,1
82,641.0,1.0,0.0,39.0,2.0,0.0,2.0,1.0,0.0,161479.19,0
83,575.0,2.0,1.0,35.0,7.0,0.0,1.0,0.0,1.0,172749.65,0
84,653.0,0.0,1.0,46.0,4.0,?,1.0,1.0,0.0,163570.25,1
85,645.0,1.0,0.0,39.0,8.0,128736.39,1.0,0.0,0.0,154775.7,1
86,663.0,2.0,1.0,40.0,1.0,0.0,1.0,0.0,0.0,52796.31,0
87,736.0,?,?,35.0,8.0,?,2.0,1.0,1.0,195052.12,0
88,684.0,0.0,1.0,31.0,2.0,140956.99,1.0,0.0,1.0,147822.44,1
89,762.0,0.0,1.0,44.0,1.0,63562.02,2.0,1.0,0.0,52629.73,0
90,573.0,0.0,1.0,40.0,1.0,142412.13,1.0,0.0,1.0,138051.19,0
91,652.0,1.0,0.0,48.0,1.0,95231.91,1.0,0.0,1.0,,1
92,634.0,1.0,1.0,31.0,2.0,0.0,2.0,1.0,1.0,164064.5,0
93,775.0,1.0,1.0,38.0,2.0,0.0,1.0,1.0,1.0,61251.25,0
94,662.0,2.0,0.0,39.0,1.0,0.0,2.0,0.0,1.0,,0
95,841.0,1.0,0.0,52.0,2.0,0.0,1.0,1.0,0.0,140136.1,1
96,731.0,0.0,1.0,34.0,6.0,152899.24,1.0,1.0,0.0,109626.93,0
97,850.0,1.0,1.0,35.0,6.0,96498.22,1.0,1.0,0.0,10488.44,0
98,707.0,2.0,0.0,38.0,10.0,0.0,2.0,1.0,1.0,134878.19,0
99,587.0,1.0,0.0,45.0,6.0,126076.24,,1.0,1.0,34436.83,0
100,711.0,1.0,0.0,25.0,,127103.97,1.0,1.0,0.0,99444.02,0
101,697.0,1.0,1.0,31.0,9.0,0.0,1.0,1.0,0.0,142994.64,0
102,602.0,1.0,?,28.0,?,0.0,1.0,1.0,1.0,83056.22,0
103,773.0,1.0,1.0,39.0,1.0,184715.86,2.0,0.0,0.0,172033.09,0
104,648.0,1.0,1.0,27.0,6.0,0.0,2.0,1.0,0.0,82298.59,0
105,640.0,1.0,1.0,32.0,0.0,0.0,2.0,1.0,1.0,162763.01,0
106,709.0,2.0,1.0,33.0,6.0,?,2.0,1.0,1.0,158958.9,0
107,535.0,2.0,?,27.0,5.0,98263.35,1.0,1.0,1.0,52885.32,0
108,689.0,1.0,1.0,55.0,2.0,0.0,2.0,0.0,0.0,101371.05,1
109,556.0,2.0,0.0,43.0,4.0,97665.61,1.0,1.0,0.0,118372.55,1
110,570.0,0.0,1.0,34.0,7.0,131879.76,1.0,0.0,0.0,172917.59,0
111,681.0,1.0,1.0,39.0,3.0,0.0,2.0,1.0,0.0,91196.67,0
112,588.0,1.0,0.0,22.0,10.0,87946.39,1.0,1.0,1.0,155846.69,0
113,641.0,0.0,1.0,32.0,0.0,152462.88,1.0,1.0,1.0,146917.28,0
114,680.0,2.0,,46.0,8.0,0.0,2.0,1.0,1.0,71738.56,0
115,?,1.0,1.0,47.0,4.0,0.0,2.0,1.0,1.0,77965.61,0
116,650.0,1.0,1.0,40.0,1.0,0.0,2.0,0.0,1.0,134901.58,0
117,681.0,1.0,?,45.0,7.0,0.0,2.0,1.0,1.0,114899.13,0
118,544.0,1.0,0.0,37.0,10.0,0.0,?,1.0,1.0,48486.64,0
119,705.0,1.0,0.0,23.0,?,0.0,?,0.0,0.0,86937.2,0
120,713.0,1.0,0.0,37.0,1.0,0.0,1.0,0.0,1.0,55313.51,1
121,537.0,1.0,1.0,?,3.0,126477.42,1.0,0.0,1.0,?,0
122,565.0,0.0,?,47.0,5.0,82697.24,1.0,0.0,0.0,151251.25,1
123,698.0,2.0,1.0,29.0,5.0,0.0,2.0,1.0,,161435.18,0
124,681.0,2.0,0.0,31.0,?,0.0,2.0,,0.0,13998.88,1
125,659.0,1.0,0.0,41.0,2.0,0.0,2.0,1.0,1.0,102908.91,0
126,583.0,2.0,1.0,38.0,3.0,0.0,2.0,1.0,0.0,155711.64,0
127,645.0,1.0,1.0,37.0,2.0,125437.38,1.0,1.0,1.0,125422.66,0
128,639.0,1.0,?,37.0,2.0,0.0,2.0,0.0,0.0,173486.16,0
129,765.0,1.0,1.0,45.0,8.0,137948.51,1.0,1.0,1.0,,0
130,?,1.0,1.0,40.0,5.0,0.0,2.0,0.0,0.0,138022.01,0
131,714.0,0.0,0.0,47.0,7.0,110805.42,2.0,0.0,1.0,,0
132,797.0,1.0,1.0,45.0,8.0,0.0,1.0,0.0,1.0,125110.02,0
133,598.0,2.0,0.0,51.0,6.0,120962.59,1.0,1.0,1.0,49872.33,0
134,681.0,2.0,1.0,43.0,7.0,0.0,1.0,,?,158736.04,1
135,699.0,1.0,1.0,37.0,1.0,0.0,3.0,1.0,0.0,28228.25,1
136,516.0,2.0,1.0,25.0,4.0,129922.11,1.0,1.0,1.0,168885.83,0
137,559.0,2.0,0.0,32.0,7.0,0.0,2.0,1.0,0.0,17941.16,0
138,705.0,1.0,1.0,,9.0,0.0,2.0,1.0,1.0,1364.85,0
139,613.0,0.0,1.0,44.0,7.0,110150.43,1.0,1.0,1.0,52795.15,1
140,714.0,2.0,1.0,20.0,3.0,0.0,1.0,0.0,1.0,150465.93,0
141,573.0,0.0,1.0,42.0,3.0,129914.55,1.0,1.0,1.0,97640.29,0
142,712.0,1.0,0.0,54.0,7.0,0.0,2.0,1.0,0.0,72330.46,1
143,487.0,0.0,1.0,,8.0,92474.05,1.0,1.0,0.0,84151.98,0
144,651.0,0.0,1.0,39.0,,127435.84,1.0,0.0,1.0,156593.99,0
145,830.0,2.0,0.0,21.0,4.0,0.0,2.0,1.0,1.0,180889.7,0
146,667.0,2.0,1.0,33.0,9.0,0.0,2.0,0.0,0.0,68873.8,0
147,484.0,2.0,1.0,21.0,1.0,92472.1,1.0,0.0,1.0,199953.33,0
148,710.0,0.0,1.0,36.0,1.0,132726.8,2.0,1.0,0.0,136614.01,1
149,656.0,0.0,1.0,39.0,9.0,132088.66,2.0,0.0,0.0,89895.1,0
150,641.0,0.0,1.0,41.0,2.0,139762.13,1.0,1.0,1.0,63716.53,0
151,644.0,1.0,1.0,46.0,7.0,0.0,2.0,0.0,1.0,9002.8,0
152,745.0,2.0,1.0,47.0,1.0,0.0,2.0,1.0,1.0,49594.02,0
153,686.0,1.0,0.0,42.0,2.0,0.0,2.0,1.0,0.0,143681.85,0
154,636.0,1.0,1.0,28.0,9.0,0.0,1.0,1.0,0.0,159254.29,0
155,600.0,2.0,0.0,29.0,7.0,0.0,2.0,1.0,0.0,103480.69,0
156,531.0,0.0,0.0,36.0,3.0,130334.35,2.0,1.0,0.0,150757.35,0
157,633.0,0.0,0.0,44.0,5.0,121523.58,1.0,1.0,0.0,49653.91,1
158,655.0,0.0,0.0,36.0,10.0,,1.0,0.0,0.0,9181.66,1
159,701.0,2.0,0.0,42.0,5.0,0.0,2.0,,1.0,24210.56,1
160,678.0,1.0,0.0,51.0,3.0,0.0,1.0,0.0,0.0,136902.01,1
161,?,1.0,0.0,43.0,8.0,0.0,2.0,1.0,1.0,131772.31,0
162,619.0,1.0,1.0,32.0,8.0,109724.38,1.0,1.0,1.0,?,0
163,758.0,2.0,0.0,58.0,?,0.0,2.0,0.0,0.0,119071.56,0
164,537.0,0.0,0.0,33.0,7.0,114203.47,1.0,1.0,1.0,?,1
165,663.0,?,1.0,47.0,0.0,141237.05,1.0,0.0,0.0,127095.85,1
166,562.0,1.0,1.0,36.0,8.0,0.0,2.0,1.0,0.0,32845.32,0
167,612.0,0.0,1.0,41.0,6.0,96166.88,1.0,,1.0,191393.26,0
168,735.0,0.0,1.0,35.0,2.0,109196.66,2.0,1.0,1.0,109393.19,0
169,437.0,1.0,1.0,32.0,10.0,0.0,2.0,1.0,0.0,132741.13,0
170,646.0,1.0,1.0,35.0,2.0,0.0,2.0,,1.0,64869.55,0
171,587.0,1.0,1.0,35.0,4.0,0.0,2.0,1.0,1.0,81429.6,0
172,711.0,1.0,1.0,39.0,4.0,0.0,1.0,0.0,1.0,96612.88,0
173,581.0,0.0,1.0,36.0,3.0,151532.4,2.0,1.0,0.0,181224.56,0
174,661.0,0.0,0.0,23.0,8.0,122552.34,,1.0,0.0,67611.36,1
175,741.0,1.0,1.0,43.0,5.0,,1.0,0.0,0.0,101089.76,1
176,721.0,1.0,0.0,37.0,3.0,65253.07,2.0,1.0,1.0,72929.96,0
177,675.0,1.0,0.0,31.0,2.0,0.0,?,1.0,0.0,49865.89,0
178,653.0,1.0,1.0,40.0,5.0,152309.34,1.0,1.0,0.0,177815.02,0
179,717.0,2.0,1.0,26.0,5.0,0.0,2.0,1.0,1.0,182495.71,0
180,587.0,1.0,1.0,36.0,5.0,0.0,2.0,1.0,1.0,55775.51,0
181,580.0,1.0,0.0,41.0,4.0,95696.52,2.0,1.0,1.0,91196.67,0
182,577.0,1.0,1.0,33.0,,124053.4,1.0,1.0,,71811.9,0
183,627.0,2.0,1.0,35.0,7.0,122449.31,1.0,1.0,0.0,187718.26,0
184,444.0,1.0,0.0,32.0,9.0,0.0,2.0,1.0,0.0,138743.86,0
185,577.0,1.0,1.0,43.0,3.0,0.0,2.0,1.0,?,135008.92,0
186,547.0,0.0,1.0,37.0,2.0,130538.77,2.0,1.0,1.0,73881.68,0
187,683.0,2.0,1.0,48.0,6.0,0.0,2.0,0.0,1.0,117830.57,0
188,841.0,0.0,0.0,52.0,3.0,112383.03,1.0,1.0,1.0,85516.37,0
189,731.0,1.0,1.0,33.0,10.0,?,1.0,,0.0,66795.87,0
190,637.0,1.0,,24.0,8.0,134715.93,1.0,1.0,1.0,187976.72,0
191,781.0,0.0,1.0,33.0,9.0,106059.4,2.0,1.0,1.0,139059.05,0
192,643.0,2.0,1.0,47.0,8.0,0.0,2.0,0.0,0.0,138526.96,0
193,749.0,2.0,0.0,38.0,9.0,0.0,2.0,1.0,1.0,48986.12,0
194,,?,0.0,57.0,2.0,134519.6,1.0,1.0,1.0,163471.01,1
195,850.0,1.0,0.0,39.0,4.0,0.0,2.0,1.0,1.0,176791.27,0
196,653.0,1.0,0.0,46.0,5.0,68999.66,2.0,1.0,1.0,,1
197,648.0,?,1.0,38.0,5.0,0.0,2.0,0.0,0.0,1299.75,0
198,607.0,2.0,1.0,31.0,8.0,0.0,1.0,1.0,1.0,141946.92,0
199,730.0,0.0,1.0,46.0,2.0,125385.53,1.0,1.0,1.0,99505.01,1
200,691.0,2.0,0.0,51.0,8.0,0.0,1.0,1.0,1.0,176883.81,1
201,683.0,?,0.0,21.0,9.0,0.0,2.0,1.0,1.0,108799.32,0
202,682.0,1.0,1.0,58.0,8.0,0.0,2.0,1.0,1.0,81553.02,0
203,478.0,1.0,0.0,42.0,3.0,0.0,2.0,1.0,0.0,34777.23,0
204,628.0,0.0,1.0,71.0,5.0,134593.35,1.0,1.0,1.0,166957.2,1
205,850.0,1.0,0.0,29.0,10.0,0.0,2.0,0.0,1.0,199775.67,0
206,709.0,2.0,0.0,58.0,9.0,0.0,1.0,1.0,0.0,103099.22,1
207,679.0,0.0,1.0,37.0,7.0,136930.26,2.0,1.0,1.0,56941.62,0
208,581.0,1.0,0.0,40.0,5.0,0.0,,0.0,1.0,25310.72,0
209,678.0,1.0,1.0,42.0,6.0,89027.85,1.0,1.0,0.0,171706.87,0
210,607.0,1.0,1.0,23.0,10.0,0.0,2.0,1.0,1.0,198802.9,0
211,?,0.0,1.0,29.0,4.0,118850.19,2.0,0.0,0.0,92920.03,0
212,695.0,1.0,0.0,30.0,5.0,0.0,2.0,1.0,0.0,155711.64,0
213,588.0,0.0,1.0,35.0,3.0,143360.55,2.0,1.0,0.0,71139.8,0
214,828.0,2.0,0.0,40.0,6.0,0.0,1.0,1.0,1.0,143859.66,1
215,?,1.0,1.0,44.0,9.0,0.0,1.0,1.0,0.0,67599.71,0
216,583.0,2.0,1.0,48.0,8.0,0.0,2.0,1.0,1.0,142548.33,0
217,694.0,0.0,0.0,48.0,1.0,143212.22,1.0,1.0,0.0,102628.56,0
218,527.0,2.0,0.0,40.0,8.0,0.0,1.0,1.0,0.0,89891.4,1
219,757.0,0.0,0.0,41.0,0.0,160838.13,1.0,,1.0,92712.97,0
220,699.0,2.0,1.0,53.0,6.0,118342.26,1.0,1.0,1.0,161574.19,1
221,794.0,1.0,0.0,29.0,7.0,0.0,1.0,0.0,1.0,71725.73,0
222,578.0,1.0,1.0,35.0,8.0,123972.24,2.0,1.0,1.0,182495.2,0
223,739.0,0.0,1.0,29.0,9.0,140931.99,1.0,,0.0,63795.36,0
224,619.0,1.0,1.0,34.0,6.0,148055.74,1.0,1.0,0.0,152298.28,0
225,644.0,2.0,1.0,36.0,,0.0,1.0,1.0,1.0,142331.62,0
226,607.0,1.0,1.0,?,1.0,0.0,?,1.0,0.0,29818.2,0
227,635.0,1.0,0.0,33.0,8.0,0.0,2.0,?,1.0,84521.03,0
228,604.0,1.0,0.0,55.0,10.0,0.0,4.0,0.0,0.0,148564.72,1
229,638.0,1.0,1.0,23.0,7.0,95858.76,2.0,1.0,0.0,128525.93,0
230,581.0,2.0,1.0,26.0,2.0,0.0,1.0,1.0,1.0,115916.55,0
231,834.0,1.0,1.0,45.0,4.0,131254.81,2.0,0.0,0.0,20199.3,0
232,635.0,,1.0,32.0,7.0,0.0,2.0,1.0,1.0,64849.74,0
233,?,1.0,1.0,32.0,0.0,123711.75,?,1.0,1.0,113482.5,0
234,673.0,2.0,,37.0,8.0,0.0,2.0,1.0,1.0,148811.81,0
235,646.0,1.0,1.0,35.0,7.0,0.0,2.0,1.0,0.0,62647.71,0
236,516.0,2.0,1.0,39.0,8.0,137980.54,1.0,1.0,0.0,170853.93,0
237,555.0,0.0,0.0,51.0,9.0,138214.5,1.0,1.0,0.0,,1
238,516.0,2.0,1.0,45.0,10.0,0.0,2.0,1.0,0.0,134711.12,0
239,576.0,1.0,1.0,60.0,9.0,124978.59,1.0,1.0,?,117035.12,1
240,628.0,0.0,0.0,35.0,1.0,126547.85,2.0,0.0,0.0,173365.74,0
241,671.0,0.0,1.0,36.0,1.0,122310.8,2.0,1.0,0.0,180829.14,0
242,?,1.0,1.0,38.0,1.0,132954.64,1.0,1.0,0.0,146715.07,0
243,705.0,1.0,1.0,38.0,1.0,0.0,2.0,0.0,1.0,129576.99,0
244,758.0,1.0,1.0,34.0,8.0,119452.03,1.0,1.0,1.0,171575.54,0
245,661.0,2.0,1.0,29.0,8.0,68375.39,1.0,1.0,1.0,138052.29,0
246,725.0,2.0,1.0,42.0,8.0,0.0,2.0,1.0,1.0,83681.85,0
247,726.0,1.0,1.0,37.0,7.0,0.0,2.0,1.0,0.0,100835.22,0
248,707.0,1.0,0.0,25.0,9.0,0.0,2.0,1.0,1.0,79559.02,0
249,549.0,0.0,0.0,38.0,9.0,,1.0,1.0,1.0,149994.64,1
250,678.0,0.0,1.0,45.0,8.0,101465.17,1.0,?,0.0,134719.43,1
251,592.0,0.0,1.0,51.0,9.0,124067.32,1.0,1.0,0.0,85937.47,1
252,730.0,1.0,1.0,32.0,4.0,0.0,2.0,1.0,1.0,151667.33,0
253,598.0,1.0,1.0,55.0,1.0,80926.0,1.0,1.0,0.0,?,1
254,703.0,1.0,1.0,32.0,6.0,109876.82,2.0,1.0,0.0,117830.57,0
255,656.0,2.0,1.0,42.0,6.0,0.0,2.0,0.0,0.0,131283.6,0
256,669.0,1.0,0.0,40.0,,0.0,1.0,0.0,,107435.83,1
257,773.0,1.0,1.0,33.0,9.0,0.0,2.0,,1.0,163477.22,0
258,610.0,1.0,1.0,33.0,1.0,0.0,2.0,1.0,0.0,187616.16,0
259,?,0.0,1.0,37.0,5.0,136857.0,1.0,1.0,1.0,16081.62,0
260,477.0,1.0,1.0,23.0,9.0,0.0,2.0,1.0,0.0,,1
261,711.0,1.0,1.0,50.0,9.0,102277.52,1.0,0.0,0.0,79414.0,0
262,599.0,1.0,0.0,52.0,4.0,0.0,1.0,1.0,1.0,85937.85,1
263,645.0,1.0,1.0,39.0,8.0,0.0,2.0,0.0,0.0,96864.36,1
264,846.0,1.0,0.0,38.0,7.0,123544.21,1.0,1.0,1.0,,0
265,702.0,0.0,0.0,35.0,7.0,88109.81,1.0,1.0,0.0,128373.88,1
266,640.0,2.0,1.0,42.0,4.0,132876.23,2.0,0.0,1.0,79259.77,0
267,431.0,1.0,1.0,37.0,0.0,120764.08,2.0,1.0,0.0,117023.08,0
268,559.0,1.0,0.0,56.0,7.0,0.0,1.0,1.0,1.0,152740.16,1
269,633.0,2.0,0.0,31.0,9.0,0.0,2.0,0.0,?,126712.26,0
270,567.0,2.0,0.0,36.0,5.0,0.0,1.0,0.0,0.0,71638.96,0
271,850.0,0.0,1.0,42.0,9.0,84445.68,1.0,1.0,0.0,60021.34,1
272,695.0,0.0,1.0,32.0,0.0,138992.48,1.0,0.0,0.0,74028.36,0
273,662.0,2.0,0.0,50.0,8.0,0.0,1.0,1.0,0.0,167969.19,1
274,479.0,2.0,0.0,38.0,8.0,0.0,2.0,1.0,0.0,98931.5,0
275,850.0,2.0,0.0,43.0,2.0,89814.46,1.0,1.0,1.0,,0
276,696.0,0.0,1.0,?,,126732.85,1.0,1.0,1.0,79577.38,0
277,581.0,1.0,1.0,41.0,3.0,0.0,1.0,1.0,1.0,152880.28,0
278,596.0,1.0,1.0,30.0,9.0,0.0,2.0,1.0,1.0,91406.62,0
279,592.0,2.0,1.0,?,,101099.9,1.0,1.0,1.0,144889.3,0
280,661.0,1.0,0.0,35.0,2.0,0.0,2.0,0.0,1.0,51695.41,0
281,669.0,2.0,1.0,32.0,4.0,0.0,2.0,1.0,1.0,48849.89,0
282,583.0,1.0,1.0,40.0,7.0,0.0,1.0,1.0,1.0,?,0
283,628.0,1.0,1.0,48.0,2.0,0.0,2.0,1.0,1.0,173599.38,0
284,678.0,1.0,0.0,38.0,1.0,0.0,1.0,1.0,1.0,20734.81,0
285,645.0,1.0,1.0,41.0,3.0,141349.43,1.0,1.0,0.0,155061.97,0
286,662.0,2.0,1.0,36.0,7.0,0.0,1.0,1.0,1.0,173868.01,0
287,585.0,2.0,1.0,46.0,3.0,?,2.0,1.0,0.0,132088.59,0
288,681.0,2.0,1.0,37.0,9.0,131778.08,1.0,0.0,0.0,5983.8,1
289,775.0,0.0,0.0,45.0,6.0,104944.1,?,1.0,0.0,133091.32,1
290,656.0,1.0,0.0,40.0,6.0,141434.04,1.0,1.0,0.0,177784.68,1
291,684.0,0.0,1.0,35.0,5.0,77082.65,?,0.0,0.0,102284.2,0
292,665.0,1.0,1.0,46.0,1.0,0.0,2.0,1.0,1.0,29388.02,0
293,688.0,1.0,0.0,28.0,,0.0,2.0,1.0,0.0,161653.5,0
294,606.0,1.0,?,?,,0.0,2.0,1.0,1.0,155853.64,0
295,684.0,1.0,0.0,42.0,3.0,0.0,1.0,1.0,1.0,156774.85,0
296,613.0,1.0,1.0,37.0,5.0,0.0,2.0,1.0,?,129984.2,0
297,715.0,1.0,0.0,47.0,4.0,0.0,1.0,1.0,0.0,131802.79,1
298,605.0,1.0,0.0,36.0,1.0,120731.08,1.0,1.0,0.0,121409.06,1
299,648.0,1.0,1.0,34.0,8.0,0.0,2.0,1.0,0.0,79078.41,0
300,592.0,1.0,0.0,,5.0,0.0,2.0,1.0,0.0,141872.05,0
301,537.0,1.0,1.0,44.0,6.0,0.0,2.0,1.0,0.0,66462.79,0
302,?,1.0,0.0,40.0,5.0,139542.82,1.0,1.0,0.0,54372.37,0
303,613.0,2.0,1.0,34.0,7.0,0.0,2.0,1.0,0.0,180551.76,0
304,724.0,1.0,0.0,40.0,3.0,0.0,1.0,1.0,0.0,,1
305,543.0,2.0,1.0,64.0,1.0,0.0,1.0,1.0,0.0,62796.8,1
306,583.0,0.0,,33.0,4.0,79974.55,2.0,1.0,,4491.77,0
307,607.0,1.0,1.0,32.0,8.0,0.0,2.0,1.0,0.0,129964.94,0
308,667.0,1.0,1.0,28.0,4.0,107141.27,1.0,1.0,0.0,193018.71,0
309,707.0,2.0,0.0,30.0,8.0,139542.52,1.0,0.0,1.0,115650.56,1
310,639.0,1.0,1.0,37.0,3.0,0.0,2.0,0.0,1.0,131301.74,0
311,614.0,2.0,1.0,33.0,4.0,146286.22,2.0,1.0,0.0,182505.68,0
312,743.0,0.0,0.0,46.0,6.0,124446.43,1.0,1.0,0.0,177531.99,1
